2002,469188
2004,450870
2006,430977
2008,411635
2010,357042
2012,326184
2014,267482
2016,262610
2018,260792
2001,469282
2003,457557
2005,435269
2007,421525
2009,379667
2011,339646
2013,297355
2015,257495
2017,262305
