1,TRUE,75857
2,FALSE,221593
3,TRUE,92014
4,FALSE,279638
5,TRUE,76274
6,FALSE,274631
7,TRUE,113593
8,FALSE,338304
9,TRUE,96200
10,TRUE,92537
11,FALSE,236104
12,TRUE,77530
14,TRUE,56403
15,FALSE,166202
16,TRUE,41490
17,FALSE,148567
18,TRUE,73640
19,FALSE,229181
20,FALSE,85880
21,TRUE,2
22,FALSE,163521
24,FALSE,151353
25,TRUE,108493
31,FALSE,118
1,FALSE,182348
2,TRUE,88159
3,FALSE,241972
4,TRUE,85798
5,FALSE,210902
6,TRUE,103358
7,FALSE,274678
8,TRUE,105639
9,FALSE,232244
10,FALSE,187100
11,TRUE,185186
12,FALSE,238747
14,FALSE,205526
15,TRUE,121811
16,FALSE,174996
17,TRUE,40636
18,FALSE,220033
19,TRUE,67220
20,TRUE,27461
21,FALSE,2
22,TRUE,45169
24,TRUE,47257
25,FALSE,271397
31,TRUE,70
