01AM,213204
02PM,318241
03AM,144290
04PM,332282
05AM,89750
06PM,366877
07AM,148268
08PM,381559
09AM,270623
10AM,264803
11PM,303950
12AM,371793
01PM,300738
02AM,178968
03PM,343565
04AM,108423
05PM,340149
06AM,105459
07PM,381482
08AM,211589
09PM,372897
10PM,367571
11AM,278428
12PM,361972
